24574  3  0
   1    3204  3202  3203
   2    3202  3204     1
   3    3204  3203   836
   4     836  3208  3212
   5    3208   836  3203
   6    3209  3212  3208
   7    3203  3207  3208
   8    3202  3205  3206
   9    3205  3202     1
  10    3206  3205   837
  11    3202  3206   834
  12    3207  3218   835
  13     835  3208  3207
  14    3207  3203   834
  15    3214   835  3218
  16     834  3217  3207
  17    3203  3202   834
  18    3209  3208   835
  19     228  3209  3211
  20    3209   228  3212
  21    3211  3209  3210
  22     228  3211  3216
  23    3216  3215   844
  24    3215  3216  3211
  25    3236   844  3215
  26    3211   840  3215
  27    3210  3214  3213
  28    3210  3209   835
  29    3231  3213  3230
  30    3210  3213   840
  31     840  3231  3239
  32    3231   840  3213
  33    3253  3239  3231
  34     840  3239  3215
  35    3213  3214   839
  36    3210   840  3211
  37     835  3214  3210
  38    3236  3215  3239
  39     834  3206  3225
  40     837  3219  3221
  41     838  3225  3221
  42    3221  3225  3206
  43    3217  3225  3223
  44    3217   834  3225
  45     838  3223  3225
  46     226  3217  3223
  47    3221  3219  3220
  48    3217  3218  3207
  49    3271  3220  3272
  50     229  3220  3219
  51    3272  3220   229
  52    3220  3271   838
  53    3224  3222  3223
  54    3224   838  3271
  55     858  3229  3222
  56    3224  3223   838
  57     858  3222  3224
  58    3220   838  3221
  59     226  3223  3222
  60    3218   226  3226
  61     226  3218  3217
  62    3228   839  3226
  63    3226   839  3214
  64    3230   839  3235
  65    3230  3213   839
  66    3228  3235   839
  67    3230  3235  3250
  68    3226   226  3227
  69    3214  3218  3226
  70    3227  3229   849
  71    3227   226  3222
  72    3232  3234   850
  73    3227   849  3228
  74    3232   850  3235
  75    3232  3235  3228
  76    3255  3251   850
  77     850  3250  3235
  78    3228   849  3232
  79    3250   850  3251
  80    3233  3232   849
  81    3227  3228  3226
  82    3222  3229  3227
  83    3231  3230   227
  84     849  3229  3283
  85     837  3221  3206
  86    3250   227  3230
  87    3238  3236  3237
  88    3236  3238   844
  89    3241  3237  3240
  90    3238  3237   224
  91     224  3241  3246
  92    3241   224  3237
  93    3245  3246  3241
  94    3237  3236   841
  95     841  3253  3248
  96     841  3236  3239
  97    3248  3253  3257
  98     841  3248  3240
  99    3240  3249   843
 100    3249  3240  3248
 101    3247   843  3258
 102     843  3241  3240
 103    3248   842  3249
 104    3240  3237   841
 105    3253   841  3239
 106    3245  3241   843
 107    3242   848  3243
 108    3245   848  3246
 109    3244   240  3242
 110     240  3268  3384
 111    3244  3268   240
 112    3352  3384  3268
 113    3243   848  3245
 114    3243  3247   847
 115    3247  3243  3245
 116    3259   847  3247
 117    3243   847  3244
 118    3267   884  3268
 119    3267  3244   847
 120    3270   884  3267
 121    3267  3268  3244
 122    3267   847  3262
 123    3243  3244  3242
 124    3245   843  3247
 125     884  3352  3268
 126     843  3249  3258
 127     227  3252  3257
 128     227  3250  3252
 129     842  3257  3256
 130     842  3248  3257
 131    3249  3260  3258
 132    3249   842  3260
 133    3265  3260   842
 134     232  3258  3260
 135    3256  3257  3252
 136    3257  3253   227
 137    3252   846  3256
 138     846  3252  3251
 139    3254   846  3251
 140    3256   846  3269
 141    3265  3269   845
 142    3269  3265  3256
 143    3310   845  3269
 144    3260  3265  3266
 145    3269   846  3309
 146    3256  3265   842
 147    3250  3251  3252
 148     845  3266  3265
 149    3261   889  3262
 150    3270  3267  3262
 151    3259  3258   232
 152    3259  3261  3262
 153    3270   889  3368
 154     889  3270  3262
 155    3368   889  3323
 156    3369  3270  3368
 157    3259   232  3261
 158     847  3259  3262
 159     232  3264  3261
 160    3264   232  3266
 161    3264  3266  3319
 162    3261  3264  3263
 163    3371  3323   886
 164    3371  3368  3323
 165    3323  3322   886
 166     867  3263  3264
 167     889  3263  3323
 168    3372  3371   886
 169    3263  3322  3323
 170     889  3261  3263
 171    3260  3266   232
 172    3270  3369   884
 173     845  3319  3266
 174    3247  3258  3259
 175    3231   227  3253
 176    3371   237  3368
 177    3274  3224  3271
 178     853  3272  3276
 179    3277  3272   229
 180    3275  3274   853
 181     853  3274  3271
 182     858  3274  3273
 183     858  3224  3274
 184    3275  3273  3274
 185    3285   858  3273
 186    3276  3272  3277
 187    3271  3272   853
 188    3276   851  3288
 189     851  3276  3277
 190    3288   851  3293
 191    3276  3288  3279
 192     230  3275  3278
 193    3275   853  3279
 194    3279  3278  3275
 195    3275   230  3273
 196    3284   230  3287
 197    3279   853  3276
 198    3284  3273   230
 199    3282  3283   857
 200    3283  3229  3285
 201     857  3283  3285
 202    3283  3282  3233
 203    3234  3233   113
 204    3234  3232  3233
 205     113  3233  3282
 206    3289  3234   113
 207    3282  3281   113
 208    3233   849  3283
 209     857  3284  3286
 210    3284   857  3285
 211    3287  3286  3284
 212     857  3286  3280
 213    3281  3280   860
 214    3281  3282  3280
 215    3304   860  3280
 216    3289   113  3281
 217    3304  3280  3286
 218    3280  3282   857
 219    3285  3273  3284
 220     860  3344  3281
 221    3288   852  3279
 222     858  3285  3229
 223    3290   852  3288
 224    3290  3293   225
 225    3297   852  3292
 226     852  3278  3279
 227    3278  3297  3301
 228    3297  3278   852
 229     855  3301  3297
 230    3301  3287   230
 231     852  3290  3292
 232    3288  3293  3290
 233     225  3294  3291
 234     868  3291  3295
 235    3291  3292  3290
 236    3292   868  3296
 237     868  3292  3291
 238    3303  3296  3494
 239    3292  3296  3297
 240    3494  3296   868
 241    3291  3290   225
 242     855  3297  3296
 243    3287  3298   854
 244    3287  3301  3298
 245    3308   854  3300
 246     854  3304  3286
 247    3304  3308  3326
 248    3308  3304   854
 249    3326  3308   243
 250    3304  3326   860
 251     854  3298  3300
 252     854  3286  3287
 253     855  3303  3299
 254    3303   855  3296
 255     856  3299  3302
 256    3299  3300  3298
