65536  3  0
   1       1  8322  8324
   2    8322     1  8325
   3    8324  8323  2116
   4    8323  8324  8322
   5    8322  2114  8323
   6    8325  8326  2114
   7    8326  8325  2117
   8    2114  8331  8323
   9    8331  2114  8326
  10    8326  8335  8331
  11    8325  2114  8322
  12    8323  8331  8330
  13    2116  8327  8329
  14    8327  2116  8330
  15    8329  8328   548
  16    8328  8329  8327
  17    8327  2115  8328
  18    8330  8332  2115
  19    8332  8330  8331
  20    2115  8344  8328
  21    8344  2115  8332
  22    8332  8339  8344
  23    8330  2115  8327
  24    2116  8323  8330
  25    8328  8344  8348
  26    8331   546  8332
  27    2117  8333  8335
  28    8333  2117  8336
  29    8335  8334   546
  30    8334  8335  8333
  31    8333  2118  8334
  32    2117  8335  8326
  33    8336  8337  2118
  34    8337  8336   549
  35    2118  8341  8334
  36    8341  2118  8337
  37    8337  8371  8341
  38    8336  2118  8333
  39    8334  8341  8340
  40     546  8338  8339
  41    8338   546  8340
  42    8339  8343  8344
  43    8343  8339  8338
  44    8338  2123  8343
  45     546  8339  8332
  46    8340  8342  2123
  47    8342  8340  8341
  48    2123  8367  8343
  49    8367  2123  8342
  50    8342  8376  8367
  51    8340  2123  8338
  52     546  8334  8340
  53    8343  8367  8359
  54    8341  2127  8342
  55    8335   546  8331
  56    8344  8343  2122
  57     548  8345  8347
  58    8345   548  8348
  59    8347  8346  2121
  60    8346  8347  8345
  61    8345  2119  8346
  62    8348  8349  2119
  63    8349  8348  2122
  64    2119  8354  8346
  65    8354  2119  8349
  66    8349  8358  8354
  67    8348  2119  8345
  68     548  8328  8348
  69    8346  8354  8353
  70    2121  8350  8352
  71    8350  2121  8353
  72    8352  8351   480
  73    8351  8352  8350
  74    8350  2120  8351
  75    8353  8355  2120
  76    8355  8353  8354
  77    2120  8366  8351
  78    8366  2120  8355
  79    8355  8361  8366
  80    8353  2120  8350
  81    2121  8346  8353
  82    8351  8366  8418
  83    8354   547  8355
  84    2122  8356  8358
  85    8356  2122  8359
  86    8358  8357   547
  87    8357  8358  8356
  88    8356  2124  8357
  89    2122  8358  8349
  90    8359  8368  2124
  91    8368  8359  8367
  92    2124  8363  8357
  93    8363  2124  8368
  94    8368  8392  8363
  95    8359  2124  8356
  96    2122  8343  8359
  97    8357  8363  8362
  98     547  8360  8361
  99    8360   547  8362
 100    8361  8365  8366
 101    8365  8361  8360
 102    8360  2136  8365
 103     547  8361  8355
 104    8362  8364  2136
 105    8364  8362  8363
 106    2136  8414  8365
 107    8414  2136  8364
 108    8364  8396  8414
 109    8362  2136  8360
 110     547  8357  8362
 111    8365  8414  8429
 112    8363  2131  8364
 113    8358   547  8354
 114    8348  8344  2122
 115    8366  8365  2140
 116    8367   479  8368
 117     549  8369  8371
 118    8369   549  8372
 119    8371  8370  2127
 120    8370  8371  8369
 121    8369  2125  8370
 122     549  8371  8337
 123    8372  8373  2125
 124    8373  8372  2128
 125    2125  8378  8370
 126    8378  2125  8373
 127    8373  8386  8378
 128    8372  2125  8369
 129    8370  8378  8377
 130    2127  8374  8376
 131    8374  2127  8377
 132    8376  8375   479
 133    8375  8376  8374
 134    8374  2126  8375
 135    2127  8376  8342
 136    8377  8379  2126
 137    8379  8377  8378
 138    2126  8403  8375
 139    8403  2126  8379
 140    8379  8389  8403
 141    8377  2126  8374
 142    2127  8370  8377
 143    8375  8403  8393
 144    8378   550  8379
 145    8371  2127  8341
 146    2128  8380  8382
 147    8386  8382  2129
 148    8382  8386  2128
 149    8380  8381  8382
 150    2128  8386  8373
 151    8381   478  8514
 152     478  8381  8380
 153    2129  8514  8387
 154    8514  2129  8381
 155     478  8513  8514
 156    8381  2129  8382
 157    8386  2129  8383
 158     550  8383  8385
 159    8383   550  8386
 160    8389  8385  2133
 161    8385  8389   550
 162    8383  8384  8385
 163     550  8389  8379
 164    8384  8387  8388
 165    8387  8384  8383
 166    2133  8388  8408
 167    8388  2133  8384
 168    8388  8387  2167
 169    8384  2133  8385
 170    8383  2129  8387
 171    8403  8389  8400
 172    8388  8522  8408
 173    8386   550  8378
 174    8400  8389  2133
 175     479  8390  8392
 176    8390   479  8393
 177    8392  8391  2131
 178    8391  8392  8390
 179    8390  2130  8391
 180     479  8392  8368
 181    8393  8394  2130
 182    8394  8393  2132
 183    2130  8398  8391
 184    8398  2130  8394
 185    8394  8407  8398
 186    8393  2130  8390
 187    8375  8393   479
 188    8391  8398  8397
 189    2131  8395  8396
 190    8395  2131  8397
 191    8396  8413  8414
 192    8413  8396  8395
 193    8395  2135  8413
 194    2131  8396  8364
 195    8397  8399  2135
 196    8399  8397  8398
 197    2135  8476  8413
 198    8476  2135  8399
 199    8399  8410  8476
 200    8397  2135  8395
 201    2131  8391  8397
 202    8413  8476  8465
 203    8398   555  8399
 204    8392  2131  8363
 205    2132  8400  8402
 206    2132  8393  8403
 207    8407  8402  2134
 208    8402  8407  2132
 209    8400  8401  8402
 210    2132  8407  8394
 211    8401  8408  8409
 212    8408  8401  8400
 213    2134  8409  8411
 214    8409  2134  8401
 215    8409  8408   563
 216    8401  2134  8402
 217    8400  2133  8408
 218    8407  2134  8404
 219     555  8404  8406
 220    8404   555  8407
 221    8410  8406  2159
 222    8406  8410   555
 223    8404  8405  8406
 224     555  8410  8399
 225    8405  8411  8412
