131048  3  0
   1    16642     1  16643
   2    16644  16643  4227
   3    16649  16643     1
   4    16642  16643  16644
   5    16658  4226  16650
   6    16644  16650  4226
   7    16645  16650  16644
   8    4226  16642  16644
   9    16657  16658  16650
  10    16648  16643  16649
  11    16646  4227  16648
  12    16648  4227  16643
  13    4233  16661  16648
  14    16661  4233  16665
  15    16648  16649  4233
  16    16646  16648  16661
  17    4228  16650  16645
  18    4228  16645  16647
  19    16646  16647  16645
  20    4232  16647  16646
  21    16645  4227  16646
  22    4228  16647  16678
  23    16678  16647  16674
  24    16645  16644  4227
  25    16657  16650  4228
  26    16651  1090  16652
  27    16652  1090  16657
  28    16652  16654  4234
  29    16654  16652  16657
  30    1090  16658  16657
  31    16653  16652  4234
  32    4243  16651  16653
  33    16653  16659  4243
  34    16660  16659  16653
  35    16651  16652  16653
  36    4243  16659  16695
  37    16653  4234  16660
  38    16656  16654  16655
  39    16654  4228  16655
  40    16678  16675  16655
  41    1091  16675  16678
  42    16657  4228  16654
  43    4230  16655  16675
  44    16660  16656  16683
  45    16660  4234  16656
  46    16683  4230  16680
  47    4230  16683  16656
  48    16656  16655  4230
  49    16659  16660  1092
  50    16675  16677  4230
  51    16656  4234  16654
  52    16678  16655  4228
  53    16683  1092  16660
  54    4232  16646  16661
  55    16662  4232  16661
  56    16662  16665  1097
  57    1097  16663  16662
  58    16663  1097  16671
  59    16662  16663  16664
  60    1091  16678  16674
  61    16674  4232  16670
  62    16669  16670  16664
  63    16664  16670  4232
  64    4232  16662  16664
  65    16673  16674  16670
  66    16664  16663  4246
  67    16674  16647  4232
  68    16663  16672  4246
  69    16669  16664  4246
  70    16684  16672  16737
  71    4251  16672  16671
  72    4246  16672  16684
  73    4247  16669  16685
  74    4247  16670  16669
  75    16685  16736  16668
  76    16684  16685  16669
  77    16669  4246  16684
  78    4247  16685  16668
  79    1096  16685  16684
  80    16663  16671  16672
  81    16673  16670  4247
  82    16675  16676  16677
  83    16676  1091  16673
  84    16676  16667  4231
  85    16667  16676  16673
  86    1091  16674  16673
  87    16677  16676  4231
  88    16680  16677  16679
  89    16680  4230  16677
  90    4229  16679  16686
  91    16679  4229  16680
  92    16677  4231  16679
  93    16683  16680  16713
  94    4231  16682  16679
  95    1091  16676  16675
  96    16666  16682  4231
  97    16666  16667  16668
  98    16668  4260  16666
  99    16736  4260  16668
 100    16673  4247  16667
 101    16666  4260  16681
 102    16686  16682   290
 103    16686  16679  16682
 104    16734  16719   290
 105    16681   290  16682
 106    16682  16666  16681
 107    16686   290  16719
 108     290  16681  16747
 109    4231  16667  16666
 110    4247  16668  16667
 111    4229  16686  16711
 112    16737  16672  4251
 113    16661  16665  16662
 114    4229  16713  16680
 115    4238  16695  16694
 116    16689  16688  4239
 117    16694  16688  4238
 118    16659  16694  16695
 119    4238  16688  16687
 120     292  16687  16689
 121    16691  16696  16689
 122    16689  16696   292
 123    16687  16688  16689
 124     292  16696  16705
 125    16693  16688  16694
 126    16693  1092  16708
 127    1092  16693  16694
 128    16721  16692  16709
 129    16713  16708  1092
 130    16659  1092  16694
 131    16693  16708  16709
 132    16691  4239  16692
 133    4239  16691  16689
 134    16692  4241  16690
 135    16709  16692  4239
 136    4239  16693  16709
 137    16696  16691  4235
 138    16708  4240  16709
 139    16693  4239  16688
 140    16683  16713  1092
 141    16690  16691  16692
 142    4237  16705  16700
 143    4237  16700  16697
 144    16701  16700  4235
 145    16696  16700  16705
 146    16697  16700  16701
 147    16699  16698  1103
 148    16698  16699  16697
 149    16697  4236  16698
 150    4236  16697  16701
 151    16699  4237  16697
 152    16839  16698  4236
 153    16701  16703  4236
 154    16702  16703  16701
 155    16702  4235  16690
 156    16690  16704  16702
 157    4241  16704  16690
 158    16696  4235  16700
 159    16702  16704  1099
 160    16706  4236  16703
 161    16706  16703  16707
 162    16725  16707  1099
 163    1099  16707  16703
 164    16703  16702  1099
 165    4280  16706  16707
 166    1099  16704  16722
 167    16701  4235  16702
 168    16691  16690  4235
 169    16706  16839  4236
 170    16708  16713  16710
 171    4240  16710  16712
 172    16710  4240  16708
 173    16717  16718  16712
 174    16711  16712  16710
 175    4229  16710  16713
 176    4240  16712  16718
 177    16721  16720  4241
 178    16720  16721  16718
 179    16718  1098  16720
 180    16717  1098  16718
 181    16721  4240  16718
 182    16715  16720  1098
 183    16712  16711  4242
 184    4240  16721  16709
 185    4242  16719  16735
 186    16719  4242  16711
 187    4262  16731  16732
 188    16735  16732  4242
 189    16735  16719  16734
 190    4242  16732  16717
 191    16731  1098  16717
 192    1098  16731  16716
 193    16731  16799  16716
 194    4262  16799  16731
 195    16717  16732  16731
 196    16716  16799  4271
 197    16783  16732  16735
 198    4242  16717  16712
 199    16711  16710  4229
 200    16715  1098  16716
 201    16722  16725  1099
 202    16704  16723  16722
 203    16723  4245  16722
 204    4245  16723  16715
 205    16720  16723  4241
 206    16722  4245  16724
 207    16733  16707  16725
 208    16733  16725  4244
 209    16724  4244  16725
 210    16727  4244  16724
 211    16725  16722  16724
 212    16878  16733  4244
 213    16724  4245  16726
 214    4241  16723  16704
 215    16714  16726  4245
 216    16715  16716  16714
 217    4296  16728  16793
 218    4271  16728  16714
 219    16716  4271  16714
 220    16714  16728  16726
 221    16727  16724  16726
 222    16727  16726  4296
 223    4296  16730  16727
 224    16829  16730  4296
 225    16726  16728  4296
 226    4244  16727  16729
 227    4271  16792  16728
 228    4245  16715  16714
 229    16720  16715  16723
 230    16727  16730  16729
 231    4271  16799  16794
 232    16721  4241  16692
 233    16686  16719  16711
 234    16733  4280  16707
 235    16748  16681  4260
 236    16737  16738  16739
 237    16738  16737  4251
 238    16741  16739  16740
 239    4248  16739  16738
