13390  3  0
   1    1824   144  1825
   2    1825   144  1832
   3    1824  1825  1823
   4    1832  1835  1826
   5    1829  1825  1832
   6    1835  1832   144
   7     495  1825  1829
   8    1822  1821    37
   9    1820  1822   494
  10    1823   495  1836
  11     495  1823  1825
  12    1821  1822  1820
  13    1836  1820  1823
  14     495  1844  1836
  15    1823  1820   494
  16     494  1824  1823
  17    1836   496  1820
  18    1826  1835   510
  19     510  1827  1826
  20     497  1832  1826
  21    1827  1856  1857
  22    1826  1827  1828
  23    1857    38  1858
  24    1833  1828  1895
  25     501  1828  1827
  26     501  1827  1857
  27    1857  1856    38
  28    1826  1828   497
  29     495  1831  1844
  30     495  1829  1831
  31    1831  1829  1830
  32    1853  1844  1831
  33     497  1833  1830
  34    1833   497  1828
  35    1830   498  1831
  36    1834   498  1830
  37    1854  1853   498
  38     497  1830  1829
  39    1832   497  1829
  40    1853  1831   498
  41    1834  1830  1833
  42    1856  1827   510
  43    1845  1836  1844
  44    1838  1837   500
  45    1840   500  1846
  46     500  1840  1838
  47    1840  1846  1821
  48     499  1840  1841
  49    1838  1840   499
  50    1846    37  1821
  51    1837  1838  1839
  52    1916   150  1842
  53    1842   150  1839
  54    1915  1916  1842
  55    1839   499  1843
  56    1839   150  1837
  57    1839  1843   520
  58    1848  1909  1843
  59    1848  1843   499
  60    1839   520  1842
  61    1838   499  1839
  62    1909   520  1843
  63     496  1840  1821
  64    1849  1841  1845
  65     496  1841  1840
  66    1845  1841   496
  67    1841  1849  1848
  68    1844   146  1845
  69    1845   496  1836
  70    1849   146  1847
  71    1852   146  1853
  72    1853  1854  1852
  73    1845   146  1849
  74    1821  1820   496
  75    1851   146  1852
  76    1848  1847   524
  77    1848  1849  1847
  78     524  1847  1855
  79    1848   524  1909
  80    1851  1850   505
  81    1850  1851  1852
  82    1944  1855   505
  83     505  1855  1851
  84    1850  1883   505
  85    1851  1855  1847
  86     146  1851  1847
  87    1909   524  1910
  88    1852   504  1850
  89    1841  1848   499
  90     146  1844  1853
  91    1855  1943   524
  92    1860  1858    38
  93     508  1863  1862
  94    1862  1863  1864
  95    1861   508  1862
  96    1864   509  1862
  97    1864   163  1866
  98    1872  1871   509
  99    1864  1863   163
 100    1861  1862   509
 101    1859   501  1857
 102    1859  1858  1861
 103     501  1859  1877
 104    1895  1828   501
 105     502  1859  1871
 106    1871  1861   509
 107    1873  1877   502
 108    1877  1859   502
 109     502  1871  1870
 110    1871  1859  1861
 111    1860  1861  1858
 112     501  1877  1895
 113     509  1864  1865
 114    1861  1860   508
 115    1866  1876  1867
 116    1867  1876   579
 117    1876  1866   163
 118    1868  1867   579
 119    1868  2022  1983
 120    1866  1867   540
 121    1869  1867  1868
 122    1868   534  1869
 123    1868   579  2022
 124     540  1867  1869
 125    1870  1872   539
 126    1897  1872  1865
 127    1874   502  1870
 128    1872   509  1865
 129    1988  1897  1865
 130    1988   540  1869
 131     151  1875  1874
 132    2004  1874  1870
 133    1897   539  1872
 134    1865   540  1988
 135    1864   540  1865
 136    1871  1872  1870
 137    1897  1988   160
 138     540  1864  1866
 139    1873   502  1874
 140    1833   145  1834
 141    1833  1895   145
 142     145  1895  1894
 143    1834   145  1881
 144     507  1881  1886
 145    1881  1882  1834
 146    1882   507  1879
 147     507  1882  1881
 148    1881  1894  1886
 149    1881   145  1894
 150    1877  1894  1895
 151    1882  1854   498
 152    1878  1850   504
 153     504  1854  1879
 154    1850  1878  1883
 155     504  1852  1854
 156    1880  1878   504
 157    1888  1880  1879
 158    1878   511  1883
 159    1889   511  1878
 160    1878  1880  1889
 161    1880   504  1879
 162    1854  1882  1879
 163    1898  1883   511
 164    1879   507  1888
 165     498  1834  1882
 166    1894   503  1886
 167     503  1894  1873
 168     503  1873  1875
 169    1886   503  1884
 170    1875  1887  1884
 171     151  1887  1875
 172    1886  1884  1885
 173     506  1884  1887
 174    1893  1892   529
 175    1875  1884   503
 176    1873  1874  1875
 177    1885  1884   506
 178    1896  1889  1893
 179    1880  1888   152
 180    1889  1880   152
 181    1889  1896   511
 182    1890   152  1888
 183    1890  1885   506
 184    1893  1889   152
 185    1891  1893   152
 186    1981   152  1890
 187    1888  1885  1890
 188     507  1885  1888
 189    1896  1893   529
 190    1890   506  1982
 191     507  1886  1885
 192    1877  1873  1894
 193    1899   505  1883
 194    1988  1869  1989
 195    1858  1859  1857
 196     511  1896  1948
 197    1903    35  1904
 198    1905  1904   519
 199    1904  1905  1903
 200    1905   519  1915
 201    1912  1905   513
 202    1903  1905  1912
 203    1916  1915   519
 204      35  1903  1902
 205     518  1901  1900
 206    1900  1901  1902
 207    1918   518  1900
 208    1902  1912   512
 209    1902  1901    35
 210     512  1917  1900
 211    1911  1930   512
 212    1911   512  1912
 213     512  1900  1902
 214    1903  1912  1902
 215    1930  1917   512
 216    1908  1905  1915
 217    1907   513  1908
 218     513  1911  1912
 219     520  1908  1915
 220    1906  1908   520
 221    1906  1910   147
 222    1906   520  1909
 223     513  1907  1913
 224     147  1907  1906
 225     147  1947  1938
 226    1906  1907  1908
 227    1910  1906  1909
 228    1914  1907   147
 229    1911  1913  1934
 230    1913  1911   513
 231    1934  1913   514
 232    1911  1934  1930
 233    1914  1938  1939
 234    1938  1914   147
 235    1934   514  1927
 236    1939   514  1914
 237    1935  1939  1962
 238    1914   514  1913
 239    1913  1907  1914
 240    1935   514  1939
 241     147  1910  1947
 242     513  1905  1908
 243    1842   520  1915
 244    1930  1934   149
 245     177  1936  1922
 246    1922  1936  1918
 247     177  1922  1920
 248    1918  1917   516
 249    1918  1936   518
 250    1931  1923   516
 251    1918   516  1922
 252    1900  1917  1918
 253    1922   516  1923
 254      34  1919  1921
 255    1921  1919  1920
 256    1925    34  1921
 257    1920  1923   598
 258    1923  1920  1922
 259     598  1924  1921
 260    1932   598  1923
 261    1932  1923  1931
 262    1920   598  1921
 263    1919   177  1920
 264    1932  2166   598
 265     516  1917  1929
 266    1929   149  1933
 267    1917  1930  1929
 268    1933   149  1926
 269    1929  1933  1931
 270    1927  1935  1928
 271    1929  1930   149
 272    1933  1926  1937
 273    1928  1926  1927
 274    1928   530  1964
 275    1927  1926   149
 276     149  1934  1927
 277     517  1926  1928
 278    1933   515  1931
 279    1933  1937   515
 280    2198   515  1937
 281    1931   515  1932
 282     517  1964  1980
 283    1937  1926   517
 284     172  2199  1980
 285    1980  2199   517
 286    1964  1979  1980
 287     517  2199  1937
 288    1928  1964   517
 289    1932   515  2236
 290     530  1928  1935
 291    1929  1931   516
 292     514  1935  1927
 293    2198  1937  2199
 294    1939  1938   523
 295    1943  1944   521
 296     524  1943  1910
 297     521  1944  1940
 298    1943   521  1947
 299    1940  1899    36
 300    1899  1940  1944
 301      36  1899  1898
 302    1940    36  1941
 303    1944  1943  1855
 304     521  1940  1942
 305    1946   523  1938
 306    1947   521  1946
 307     523  1946  1945
 308     523  1962  1939
 309    1942  1941   522
 310    1946   521  1942
 311    1975  1945   522
 312     522  1945  1942
 313    1941  1952   522
 314    1942  1945  1946
 315    1940  1941  1942
 316    1963   523  1945
 317      36  1949  1941
 318    1943  1947  1910
 319    1898  1948  1949
